metric,value,method,source_file,note
quantile total rows,73097388,Quantile,results/regimes/quantile/quantile_regime_labels.parquet,
HMM total rows,8121932,HMM,results/regimes/hmm/hmm_regime_labels.parquet,
quantile failure rows,0,Quantile,results/logs/01_quantile_failures.parquet,
HMM failure rows,0,HMM,results/logs/02_hmm_failures.parquet,
Matrix Profile motif rows,81987,Matrix Profile,results/motifs/matrix_profile/matrix_profile_motif_results.parquet,
Matrix Profile evaluation rows,1384,Matrix Profile,results/motifs/matrix_profile/matrix_profile_evaluation.parquet,
Matrix Profile runtime rows,368,Matrix Profile,results/motifs/matrix_profile/matrix_profile_runtime.parquet,
Matrix Profile figure count,84,Matrix Profile,results/figures,
Matrix Profile agnostic rows,720,Matrix Profile,results/motifs/matrix_profile/matrix_profile_motif_results.parquet,
Matrix Profile conditioned rows,81267,Matrix Profile,results/motifs/matrix_profile/matrix_profile_motif_results.parquet,
Matrix Profile GPU true rows,0,Matrix Profile,results/motifs/matrix_profile/matrix_profile_motif_results.parquet,
Matrix Profile GPU false rows,81987,Matrix Profile,results/motifs/matrix_profile/matrix_profile_motif_results.parquet,
LoCoMotif motif rows,18147,LoCoMotif,results/motifs/locomotif/locomotif_motif_results.parquet,
LoCoMotif evaluation rows,38,LoCoMotif,results/motifs/locomotif/locomotif_evaluation.parquet,
LoCoMotif runtime rows,662,LoCoMotif,results/motifs/locomotif/locomotif_runtime.parquet,
LoCoMotif failure rows,not available,LoCoMotif,results/motifs/locomotif/04_locomotif_failures.parquet,
LoCoMotif figure count,6,LoCoMotif,results/figures,
selected final figure count,18,All,results/figures,
