method,path,exists,rows,cols,min_timestamp,max_timestamp,assets,frequencies,regime_methods,regime_labels,volatility_columns
quantile,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/quantile/quantile_regime_labels.parquet,True,73097388,11,2010-01-04 00:00:00+00:00,2025-12-31 23:59:00+00:00,"BTCUSDT, DAX, ETHUSDT, EURUSD, GBPUSD, NASDAQ100, SP500, VIX","15m, 1d, 1h, 1m, 5m","quantile_2_rolling_240, quantile_2_rolling_30, quantile_2_rolling_60, quantile_3_rolling_240, quantile_3_rolling_30, quantile_3_rolling_60, quantile_4_rolling_240, quantile_4_rolling_30, quantile_4_rolling_60","extreme_vol, high_vol, low_vol, medium_vol",rolling_volatility_60
hmm,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/hmm/hmm_regime_labels.parquet,True,8121932,13,2010-01-04 00:00:00+00:00,2025-12-31 23:59:00+00:00,"BTCUSDT, DAX, ETHUSDT, EURUSD, GBPUSD, NASDAQ100, SP500, VIX","15m, 1d, 1h, 1m, 5m","hmm_2_states, hmm_4_states","extreme_vol, high_vol, low_vol, medium_vol",
quantile,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/quantile/BTCUSDT_15m_quantile_regimes.parquet,True,1892520,11,2020-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,BTCUSDT,15m,"quantile_2_rolling_240, quantile_2_rolling_30, quantile_2_rolling_60, quantile_3_rolling_240, quantile_3_rolling_30, quantile_3_rolling_60, quantile_4_rolling_240, quantile_4_rolling_30, quantile_4_rolling_60","extreme_vol, high_vol, low_vol, medium_vol",rolling_volatility_60
quantile,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/quantile/BTCUSDT_1h_quantile_regimes.parquet,True,473193,11,2020-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,BTCUSDT,1h,"quantile_2_rolling_240, quantile_2_rolling_30, quantile_2_rolling_60, quantile_3_rolling_240, quantile_3_rolling_30, quantile_3_rolling_60, quantile_4_rolling_240, quantile_4_rolling_30, quantile_4_rolling_60","extreme_vol, high_vol, low_vol, medium_vol",rolling_volatility_60
quantile,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/quantile/ETHUSDT_15m_quantile_regimes.parquet,True,1892520,11,2020-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,ETHUSDT,15m,"quantile_2_rolling_240, quantile_2_rolling_30, quantile_2_rolling_60, quantile_3_rolling_240, quantile_3_rolling_30, quantile_3_rolling_60, quantile_4_rolling_240, quantile_4_rolling_30, quantile_4_rolling_60","extreme_vol, high_vol, low_vol, medium_vol",rolling_volatility_60
quantile,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/quantile/ETHUSDT_1h_quantile_regimes.parquet,True,473193,11,2020-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,ETHUSDT,1h,"quantile_2_rolling_240, quantile_2_rolling_30, quantile_2_rolling_60, quantile_3_rolling_240, quantile_3_rolling_30, quantile_3_rolling_60, quantile_4_rolling_240, quantile_4_rolling_30, quantile_4_rolling_60","extreme_vol, high_vol, low_vol, medium_vol",rolling_volatility_60
hmm,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/hmm/BTCUSDT_15m_hmm_regimes.parquet,True,210280,13,2020-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,BTCUSDT,15m,hmm_4_states,"extreme_vol, high_vol, low_vol, medium_vol",
hmm,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/hmm/BTCUSDT_1h_hmm_regimes.parquet,True,52577,13,2020-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,BTCUSDT,1h,hmm_4_states,"extreme_vol, high_vol, low_vol, medium_vol",
hmm,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/hmm/ETHUSDT_15m_hmm_regimes.parquet,True,210280,13,2020-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,ETHUSDT,15m,hmm_4_states,"extreme_vol, high_vol, low_vol, medium_vol",
hmm,HPC workflow/HPC_Regime_and_motif_discovery/results/regimes/hmm/ETHUSDT_1h_hmm_regimes.parquet,True,52577,13,2020-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,ETHUSDT,1h,hmm_4_states,"extreme_vol, high_vol, low_vol, medium_vol",
